"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"failed","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:59:12 GMT 2022","53098","","Controller Suite","","Controller Suite","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with 2 members [hz, fast, allure]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"passed","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[AfterSuite]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"passed","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:30 GMT 2022","11751","","Controller Suite","","Controller Suite","","[SynchronizedBeforeSuite]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:42 GMT 2022","23620","","Controller Suite","","Controller Suite","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast, allure]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"skipped","Mon Jul 04 22:58:19 GMT 2022","Mon Jul 04 22:58:19 GMT 2022","0","","Controller Suite","","Controller Suite","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
